TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
DAL,DAL @ LAC,02/08/2023,W,240,110,41,78,52.6,17,35,48.6,11,17,64.7,8,36,44,26,7,6,18,20,6
CLE,CLE vs. DET,02/08/2023,W,240,113,43,87,49.4,6,26,23.1,21,25,84.0,13,37,50,30,8,4,13,16,28
DET,DET @ CLE,02/08/2023,L,240,85,30,81,37.0,8,32,25.0,17,18,94.4,9,23,32,19,8,6,14,21,-28
IND,IND @ MIA,02/08/2023,L,240,111,38,78,48.7,15,33,45.5,20,28,71.4,5,26,31,24,3,5,11,25,-5
MIA,MIA vs. IND,02/08/2023,W,240,116,37,79,46.8,6,19,31.6,36,39,92.3,15,33,48,21,7,3,13,22,5
TOR,TOR vs. SAS,02/08/2023,W,240,112,43,88,48.9,10,28,35.7,16,21,76.2,9,42,51,21,11,7,17,19,14
MIN,MIN @ UTA,02/08/2023,W,240,143,56,98,57.1,23,43,53.5,8,8,100,8,39,47,35,6,6,11,19,25
UTA,UTA vs. MIN,02/08/2023,L,240,118,44,105,41.9,12,34,35.3,18,21,85.7,21,29,50,27,2,5,8,12,-25
GSW,GSW @ POR,02/08/2023,L,240,122,46,97,47.4,21,49,42.9,9,10,90.0,10,22,32,31,11,2,11,24,-3
POR,POR vs. GSW,02/08/2023,W,240,125,43,78,55.1,8,27,29.6,31,32,96.9,12,35,47,25,6,3,21,16,3
SAC,SAC @ HOU,02/08/2023,W,240,130,46,92,50.0,10,30,33.3,28,30,93.3,10,21,31,29,10,4,9,15,2
HOU,HOU vs. SAC,02/08/2023,L,240,128,47,86,54.7,10,22,45.5,24,28,85.7,15,29,44,25,4,7,19,21,-2
OKC,OKC @ LAL,02/07/2023,W,240,133,49,94,52.1,17,34,50.0,18,20,90.0,7,30,37,32,12,2,13,18,3
NOP,NOP vs. ATL,02/07/2023,W,240,116,45,91,49.5,12,32,37.5,14,21,66.7,13,34,47,28,8,2,10,19,9
CHI,CHI @ MEM,02/07/2023,L,240,89,32,87,36.8,7,35,20.0,18,27,66.7,11,38,49,24,9,3,20,16,-15
NYK,NYK @ ORL,02/07/2023,W,240,102,37,81,45.7,15,43,34.9,13,19,68.4,11,32,43,21,6,2,11,22,4
MEM,MEM vs. CHI,02/07/2023,W,240,104,39,81,48.1,11,33,33.3,15,21,71.4,5,34,39,22,10,7,14,21,15
ATL,ATL @ NOP,02/07/2023,L,240,107,38,85,44.7,12,36,33.3,19,25,76.0,10,31,41,30,4,6,12,21,-9
PHX,PHX @ BKN,02/07/2023,W,240,116,43,92,46.7,9,31,29.0,21,28,75.0,16,32,48,31,10,4,15,24,4
BKN,BKN vs. PHX,02/07/2023,L,240,112,38,79,48.1,9,28,32.1,27,31,87.1,5,31,36,25,11,2,17,21,-4
ORL,ORL vs. NYK,02/07/2023,L,240,98,37,79,46.8,6,25,24.0,18,24,75.0,9,32,41,23,4,4,11,19,-4
DEN,DEN vs. MIN,02/07/2023,W,240,146,58,93,62.4,13,27,48.1,17,22,77.3,6,38,44,44,12,5,11,21,34
MIN,MIN @ DEN,02/07/2023,L,240,112,40,85,47.1,10,35,28.6,22,26,84.6,8,28,36,24,6,7,17,16,-34
LAL,LAL vs. OKC,02/07/2023,L,240,130,49,85,57.6,14,31,45.2,18,26,69.2,6,35,41,27,8,3,21,19,-3
DAL,DAL @ UTA,02/06/2023,W,240,124,41,88,46.6,15,39,38.5,27,31,87.1,17,32,49,26,6,4,14,25,13
UTA,UTA vs. DAL,02/06/2023,L,240,111,41,87,47.1,6,31,19.4,23,26,88.5,10,27,37,21,4,4,13,23,-13
HOU,HOU vs. SAC,02/06/2023,L,240,120,44,88,50.0,13,32,40.6,19,24,79.2,11,28,39,27,5,4,14,15,-20
BOS,BOS @ DET,02/06/2023,W,240,111,39,83,47.0,16,37,43.2,17,21,81.0,10,41,51,25,2,5,12,22,12
DET,DET vs. BOS,02/06/2023,L,240,99,37,87,42.5,9,33,27.3,16,21,76.2,9,33,42,22,9,6,9,20,-12
SAC,SAC @ HOU,02/06/2023,W,240,140,52,89,58.4,21,41,51.2,15,18,83.3,7,28,35,38,9,5,10,22,20
CLE,CLE @ WAS,02/06/2023,W,240,114,44,78,56.4,12,29,41.4,14,20,70.0,7,36,43,26,9,6,17,15,23
WAS,WAS vs. CLE,02/06/2023,L,240,91,35,82,42.7,6,28,21.4,15,19,78.9,7,30,37,20,8,5,14,18,-23
SAS,SAS @ CHI,02/06/2023,L,240,104,40,90,44.4,8,26,30.8,16,17,94.1,6,32,38,25,7,3,18,23,-24
OKC,OKC @ GSW,02/06/2023,L,240,114,44,91,48.4,11,32,34.4,15,21,71.4,7,29,36,21,8,3,11,10,-27
GSW,GSW vs. OKC,02/06/2023,W,240,141,56,97,57.7,26,50,52.0,3,7,42.9,11,34,45,43,6,3,16,17,27
CHI,CHI vs. SAS,02/06/2023,W,240,128,50,89,56.2,6,22,27.3,22,25,88.0,7,42,49,27,10,6,14,12,24
BKN,BKN vs. LAC,02/06/2023,L,240,116,41,84,48.8,16,31,51.6,18,22,81.8,8,34,42,21,4,5,16,26,-8
MIL,MIL @ POR,02/06/2023,W,240,127,47,87,54.0,16,42,38.1,17,21,81.0,7,48,55,27,4,2,16,27,19
